Customer ID,Age,State,Gender,Device_Count,Active_Months,Total_Purchases,Avg_Unit_Price,Total_Revenue,Avg_Satisfaction_Rate,Primary_Review,Customer_Tenure_Months,Avg_Data_Usage_GB,Total_Data_Usage_GB,Avg_GB_Purchased,Total_GB_Purchased,Primary_Plan_Type,Churn_Status,Reasons_for_Churn,Churn,Usage_vs_Purchased_Ratio,Revenue_per_Purchase,Tenure_Bucket,Is_Multi_Device
CUST0050,68,Yobe,Female,2,1,31,18000.0,548000,5.0,Excellent,43,162.875,325.75,107.5,3120.0,Monthly,Yes,Poor Network,1,0.1044070512820512,17677.41935483871,37+,Yes
CUST0051,68,Oyo,Male,3,1,46,11666.666666666666,637000,5.0,Excellent,34,97.52,292.56,70.33333333333333,3970.0,Monthly,No,,0,0.0736926952141057,13847.826086956522,25-36,Yes
CUST0052,36,Abia,Male,1,1,5,1000.0,5000,1.0,Poor,36,129.72,129.72,3.2,16.0,2-Day,Yes,Better Offers from Competitors,1,8.1075,1000.0,25-36,No
CUST0053,53,Zamfara,Female,1,1,17,350.0,5950,4.0,Very Good,27,184.41,184.41,0.48828125,8.30078125,Daily,Yes,Relocation,1,22.21598117647059,350.0,25-36,No
CUST0054,24,Akwa Ibom,Female,2,1,31,21833.33333333333,628500,1.0,Poor,22,145.47333333333333,436.42,100.5,2896.5,Monthly,Yes,Costly Data Plans,1,0.150671500086311,20274.1935483871,13-24,Yes
CUST0055,65,Osun,Female,2,1,21,15300.0,571200,4.0,Very Good,3,100.015,200.03,150.75,5703.0,2-Day,No,,0,0.035074522181308,27200.0,0-6,Yes
CUST0056,28,Nasarawa,Male,2,1,22,32500.0,705000,1.0,Poor,34,140.625,281.25,232.5,5385.0,Monthly,No,,0,0.0522284122562674,32045.454545454544,25-36,Yes
CUST0057,58,Adamawa,Female,1,1,14,14500.0,203000,5.0,Excellent,21,149.48,149.48,60.0,840.0,Monthly,Yes,Poor Network,1,0.1779523809523809,14500.0,13-24,No
CUST0058,28,Nasarawa,Male,1,1,5,25000.0,125000,1.0,Poor,45,75.28,75.28,200.0,1000.0,Monthly,Yes,Better Offers from Competitors,1,0.07528,25000.0,37+,No
CUST0059,68,Enugu,Male,3,1,28,8166.666666666667,307000,5.0,Excellent,12,108.07666666666668,324.23,27.5,1182.5,Monthly,No,,0,0.2741902748414376,10964.285714285714,7-12,Yes
CUST0060,25,Nasarawa,Female,2,1,16,47500.0,540000,4.0,Very Good,38,123.66,247.32,300.0,3600.0,3-Month,No,,0,0.0687,33750.0,37+,Yes
CUST0061,53,Kano,Female,3,1,20,21333.33333333333,460000,5.0,Excellent,18,111.71999999999998,335.16,175.0,3925.0,Monthly,No,,0,0.0853910828025477,23000.0,13-24,Yes
CUST0062,21,Abia,Female,2,1,27,15175.0,276300,2.0,Fair,3,66.64,133.28,150.244140625,2708.7890625,Daily,Yes,Costly Data Plans,1,0.049202797606172,10233.333333333334,0-6,Yes
CUST0063,48,Taraba,Female,1,1,13,4500.0,58500,1.0,Poor,48,172.1,172.1,10.0,130.0,Monthly,No,,0,1.323846153846154,4500.0,37+,No
CUST0064,27,Kebbi,Male,3,1,34,13166.666666666666,371000,4.0,Very Good,17,70.23333333333333,210.7,79.16666666666667,2025.0,Monthly,No,,0,0.1040493827160493,10911.764705882351,13-24,Yes
CUST0065,75,Abia,Female,2,1,30,10500.0,258000,1.0,Poor,8,62.685,125.37,76.6,1857.6,2-Day,No,,0,0.0674903100775193,8600.0,7-12,Yes
CUST0066,69,Plateau,Female,2,1,19,22250.0,508000,4.0,Very Good,42,107.505,215.01,180.0,4740.0,Monthly,No,,0,0.0453607594936708,26736.84210526316,37+,Yes
CUST0067,61,Oyo,Female,2,1,31,14500.0,499000,1.0,Poor,18,69.555,139.11,90.0,3330.0,Monthly,No,,0,0.0417747747747747,16096.774193548386,13-24,Yes
CUST0068,32,Ondo,Male,1,1,20,30000.0,600000,5.0,Excellent,54,157.83,157.83,300.0,6000.0,Monthly,Yes,Better Offers from Competitors,1,0.026305,30000.0,37+,No
CUST0069,51,Plateau,Male,1,1,8,16000.0,128000,2.0,Fair,35,71.97,71.97,65.0,520.0,Monthly,Yes,Better Offers from Competitors,1,0.1384038461538461,16000.0,25-36,No
CUST0070,18,Enugu,Female,1,1,4,4500.0,18000,4.0,Very Good,4,102.89,102.89,10.0,40.0,Monthly,No,,0,2.57225,4500.0,0-6,No
CUST0071,80,Osun,Male,1,1,14,14500.0,203000,4.0,Very Good,47,169.54,169.54,60.0,840.0,Monthly,No,,0,0.2018333333333333,14500.0,37+,No
CUST0072,78,Nasarawa,Male,1,1,19,9000.0,171000,3.0,Good,58,125.05,125.05,25.0,475.0,Monthly,No,,0,0.2632631578947368,9000.0,37+,No
CUST0073,64,Bauchi,Female,1,1,8,35000.0,280000,1.0,Poor,30,90.59,90.59,165.0,1320.0,Monthly,No,,0,0.0686287878787878,35000.0,25-36,No
CUST0074,59,Sokoto,Female,3,1,34,62000.0,1022000,3.0,Good,27,70.68333333333334,212.05,583.6666666666666,8238.0,Monthly,No,,0,0.0257404709881039,30058.82352941177,25-36,Yes
CUST0075,31,Kogi,Female,3,1,37,14333.333333333334,502000,1.0,Poor,56,91.57666666666668,274.73,63.333333333333336,2160.0,Monthly,No,,0,0.1271898148148148,13567.567567567568,37+,Yes
CUST0076,70,Kano,Female,2,1,6,22000.0,80000,3.0,Good,2,25.535,51.07,97.5,315.0,Monthly,No,,0,0.1621269841269841,13333.333333333334,0-6,Yes
CUST0077,43,Jigawa,Female,3,1,45,8133.333333333333,420100,2.0,Fair,30,99.68666666666668,299.06,30.83333333333333,1582.5,Monthly,No,,0,0.1889794628751974,9335.555555555557,25-36,Yes
CUST0078,69,Akwa Ibom,Male,2,1,23,4750.0,96500,3.0,Good,49,5.795,11.59,15.5,313.0,Daily,No,,0,0.0370287539936102,4195.652173913043,37+,Yes
CUST0079,33,Edo,Female,2,1,20,29500.0,568000,1.0,Poor,21,109.36,218.72,142.5,2760.0,Monthly,No,,0,0.0792463768115942,28400.0,13-24,Yes
CUST0080,66,Rivers,Female,3,1,31,17166.666666666668,571500,1.0,Poor,2,139.33666666666667,418.01,71.66666666666667,2420.0,Monthly,No,,0,0.1727314049586776,18435.483870967742,0-6,Yes
CUST0081,71,Anambra,Male,2,1,20,24500.0,483000,5.0,Excellent,28,141.38,282.76,160.0,2640.0,Monthly,Yes,Better Offers from Competitors,1,0.1071060606060606,24150.0,25-36,Yes
CUST0082,40,Ekiti,Female,1,1,3,4500.0,13500,2.0,Fair,47,152.16,152.16,10.0,30.0,Monthly,Yes,Costly Data Plans,1,5.072,4500.0,37+,No
CUST0083,79,Sokoto,Female,2,1,22,4750.0,36500,3.0,Good,44,115.04,230.08,15.5,109.0,Daily,Yes,Poor Network,1,2.1108256880733944,1659.090909090909,37+,Yes
CUST0084,75,Nasarawa,Male,1,1,2,5500.0,11000,3.0,Good,4,116.28,116.28,12.5,25.0,Monthly,Yes,Better Offers from Competitors,1,4.6512,5500.0,0-6,No
CUST0085,40,Niger,Female,2,1,35,85000.0,3300000,1.0,Poor,33,56.68,113.36,843.0,32970.0,Monthly,No,,0,0.0034382772217167,94285.71428571428,25-36,Yes
CUST0086,62,Gombe,Female,1,1,18,20000.0,360000,3.0,Good,25,66.27,66.27,150.0,2700.0,Monthly,No,,0,0.0245444444444444,20000.0,25-36,No
CUST0087,52,Edo,Male,2,1,14,37750.0,230500,5.0,Excellent,22,69.115,138.23,225.5,1361.0,3-Month,No,,0,0.101565025716385,16464.285714285714,13-24,Yes
CUST0088,27,Kwara,Female,2,1,9,4675.0,37750,3.0,Good,2,129.755,259.51,15.244140625,122.44140625,Daily,Yes,Poor Customer Service,1,2.11946275323018,4194.444444444444,0-6,Yes
CUST0089,20,Bayelsa,Male,3,1,33,55450.0,2381500,2.0,Fair,39,103.94,311.82,533.8294270833334,23564.8828125,Daily,Yes,Better Offers from Competitors,1,0.0132324018956968,72166.66666666667,37+,Yes
CUST0090,40,Gombe,Female,2,1,20,9500.0,270000,4.0,Very Good,30,174.77499999999998,349.54999999999995,35.0,1100.0,Monthly,No,,0,0.3177727272727272,13500.0,25-36,Yes
CUST0091,31,Cross River,Male,3,1,38,9800.0,377700,3.0,Good,49,107.27,321.81,44.16666666666666,1712.5,Monthly,No,,0,0.1879182481751825,9939.473684210529,37+,Yes
CUST0092,63,Osun,Male,1,1,16,30000.0,480000,3.0,Good,21,183.52,183.52,300.0,4800.0,Monthly,No,,0,0.0382333333333333,30000.0,13-24,No
CUST0093,76,Nasarawa,Male,1,1,8,1000.0,8000,1.0,Poor,58,155.35,155.35,3.2,25.6,2-Day,Yes,Better Offers from Competitors,1,6.068359374999999,1000.0,37+,No
CUST0094,31,Oyo,Male,3,1,18,15200.0,371800,1.0,Poor,27,80.04666666666667,240.14,117.16666666666669,2954.5,Monthly,Yes,Fast Data Consumption,1,0.0812794042985276,20655.555555555555,25-36,Yes
CUST0095,62,Kaduna,Male,2,1,7,6250.0,41000,1.0,Poor,25,60.17,120.34,18.5,118.0,Monthly,No,,0,1.0198305084745762,5857.142857142857,25-36,Yes
CUST0096,33,Rivers,Female,3,1,12,55533.333333333336,1083800,2.0,Fair,35,109.53333333333336,328.6,534.1666666666666,10886.5,2-Day,No,,0,0.030184173058375,90316.66666666669,25-36,Yes
CUST0097,55,Zamfara,Female,1,1,2,25000.0,50000,3.0,Good,53,172.5,172.5,200.0,400.0,Monthly,Yes,High Call Tarriffs,1,0.43125,25000.0,37+,No
CUST0098,50,Delta,Female,2,1,15,87000.0,1872000,4.0,Very Good,28,96.14,192.28,828.0,18792.0,Monthly,No,,0,0.0102320136228182,124800.0,25-36,Yes
CUST0099,26,Kwara,Male,3,1,29,30500.0,1248000,3.0,Good,35,59.57333333333333,178.72,165.0,7090.0,Monthly,Yes,Costly Data Plans,1,0.0252073342736248,43034.48275862069,25-36,Yes
CUST0100,67,Gombe,Male,2,1,31,6250.0,174500,5.0,Excellent,2,62.23,124.46,18.5,493.0,Monthly,No,,0,0.2524543610547667,5629.032258064516,0-6,Yes
CUST0101,35,Nasarawa,Female,2,1,38,15500.0,469000,1.0,Poor,24,91.75666666666667,275.27000000000004,67.16666666666667,1817.0,Monthly,No,,0,0.1514969730324711,12342.105263157897,13-24,Yes
CUST0102,49,Edo,Female,1,1,15,600.0,9000,4.0,Very Good,14,179.79,179.79,1.5,22.5,2-Day,Yes,Poor Customer Service,1,7.990666666666666,600.0,13-24,No
CUST0103,56,Ekiti,Male,3,1,18,15450.0,440350,3.0,Good,36,155.41333333333333,466.24,121.82942708333331,3925.48828125,Monthly,No,,0,0.1187724855088688,24463.88888888889,25-36,Yes
CUST0104,32,Katsina,Male,2,1,27,17750.0,516000,4.0,Very Good,20,132.41500000000002,264.83000000000004,156.25,4650.0,Monthly,No,,0,0.056952688172043,19111.11111111111,13-24,Yes
CUST0105,39,Borno,Female,2,1,25,19500.0,582000,1.0,Poor,33,188.25,376.5,162.5,5300.0,Monthly,No,,0,0.0710377358490566,23280.0,25-36,Yes
CUST0106,26,Edo,Male,3,1,44,19166.666666666668,786500,2.0,Fair,41,162.95000000000002,488.85,142.33333333333334,6733.0,Monthly,No,,0,0.0726050794593791,17875.0,37+,Yes
CUST0107,19,Katsina,Male,1,1,10,4500.0,45000,2.0,Fair,42,128.56,128.56,10.0,100.0,Monthly,No,,0,1.2856,4500.0,37+,No
CUST0108,47,Kebbi,Female,2,1,23,16750.0,398500,1.0,Poor,30,134.25,268.5,153.5,3677.0,Monthly,Yes,Fast Data Consumption,1,0.0730214849061735,17326.08695652174,25-36,Yes
CUST0109,32,Gombe,Male,1,1,13,16000.0,208000,4.0,Very Good,21,10.6,10.6,65.0,845.0,Monthly,Yes,Fast Data Consumption,1,0.0125443786982248,16000.0,13-24,No
CUST0110,47,Abuja (FCT),Female,2,1,11,17750.0,281500,2.0,Fair,60,100.535,201.07,83.0,1323.0,Daily,No,,0,0.1519803476946334,25590.90909090909,37+,Yes
CUST0111,61,Oyo,Male,3,1,40,6333.333333333333,288000,5.0,Excellent,19,106.59333333333332,319.78,19.4,898.8,Monthly,No,,0,0.3557854917668002,7200.0,13-24,Yes
CUST0112,62,Cross River,Male,3,1,29,11833.333333333334,380500,5.0,Excellent,25,127.82,383.46,45.5,1522.5,Monthly,Yes,Relocation,1,0.2518620689655172,13120.689655172411,25-36,Yes
CUST0113,21,Rivers,Male,1,1,11,9000.0,99000,4.0,Very Good,9,186.31,186.31,25.0,275.0,Monthly,No,,0,0.6774909090909091,9000.0,7-12,No
CUST0114,66,Abia,Female,1,1,14,25000.0,350000,5.0,Excellent,33,134.92,134.92,200.0,2800.0,Monthly,Yes,Better Offers from Competitors,1,0.0481857142857142,25000.0,25-36,No
CUST0115,19,Taraba,Female,1,1,8,600.0,4800,1.0,Poor,42,164.42,164.42,1.5,12.0,2-Day,No,,0,13.701666666666666,600.0,37+,No
CUST0116,30,Benue,Male,1,1,16,6500.0,104000,4.0,Very Good,29,155.11,155.11,16.5,264.0,Monthly,Yes,High Call Tarriffs,1,0.5875378787878789,6500.0,25-36,No
CUST0117,33,Bauchi,Male,2,1,17,7250.0,125000,4.0,Very Good,36,74.17,148.34,18.75,325.0,Monthly,No,,0,0.4564307692307692,7352.941176470588,25-36,Yes
CUST0118,54,Osun,Female,2,1,27,17000.0,387000,2.0,Fair,50,68.565,137.13,112.5,2250.0,Monthly,No,,0,0.0609466666666666,14333.333333333334,37+,Yes
CUST0119,66,Ekiti,Male,1,1,16,150000.0,2400000,3.0,Good,19,131.37,131.37,1536.0,24576.0,Yearly,No,,0,0.005345458984375,150000.0,13-24,No
CUST0120,41,Adamawa,Female,3,1,23,11166.666666666666,253000,2.0,Fair,60,115.70666666666666,347.12,63.333333333333336,1250.0,Monthly,Yes,High Call Tarriffs,1,0.277696,11000.0,37+,Yes
CUST0121,36,Kogi,Female,3,1,21,11200.0,168600,3.0,Good,31,143.72666666666666,431.18,50.5,639.0,Monthly,No,,0,0.674773082942097,8028.571428571428,25-36,Yes
CUST0122,39,Cross River,Male,2,1,9,92500.0,890000,5.0,Excellent,1,116.42,232.84,850.5,8340.0,Monthly,No,,0,0.0279184652278177,98888.88888888888,0-6,Yes
CUST0123,36,Sokoto,Female,2,1,21,32500.0,715000,1.0,Poor,46,91.64,183.28,232.5,4005.0,Monthly,No,,0,0.0457627965043695,34047.619047619046,37+,Yes
CUST0124,33,Taraba,Female,2,1,31,20000.0,648000,1.0,Poor,60,84.69,169.38,92.5,3060.0,Monthly,Yes,Poor Customer Service,1,0.0553529411764705,20903.225806451614,37+,Yes
CUST0125,23,Delta,Female,3,1,44,14783.333333333334,597600,4.0,Very Good,20,118.86333333333332,356.59,90.16276041666669,3967.8125,Monthly,No,,0,0.08987067811294,13581.818181818182,13-24,Yes
CUST0126,69,Taraba,Male,1,1,3,6500.0,19500,5.0,Excellent,49,140.9,140.9,16.5,49.5,Monthly,No,,0,2.8464646464646464,6500.0,37+,No
CUST0127,23,Zamfara,Male,3,1,47,16666.666666666668,761000,2.0,Fair,37,94.45333333333332,283.36,124.16666666666669,5612.5,Monthly,No,,0,0.0504873051224944,16191.489361702128,37+,Yes
CUST0128,75,Abia,Male,2,1,35,21966.666666666668,1032700,1.0,Poor,26,111.33666666666666,334.01,155.83333333333334,7717.5,Monthly,No,,0,0.0432795594428247,29505.714285714286,25-36,Yes
CUST0129,33,Kogi,Female,2,1,30,7750.0,240000,4.0,Very Good,58,31.57,63.14,23.25,738.0,Monthly,No,,0,0.0855555555555555,8000.0,37+,Yes
CUST0130,32,Osun,Male,3,1,30,15450.0,348200,3.0,Good,49,89.12,267.36,121.82942708333331,2115.859375,Monthly,No,,0,0.1263600044308237,11606.666666666666,37+,Yes
CUST0131,46,Ondo,Male,3,1,30,14950.0,561700,4.0,Very Good,7,113.36666666666667,340.1,120.16276041666669,4080.9765625,Monthly,No,,0,0.0833378959156911,18723.33333333333,7-12,Yes
CUST0132,56,Niger,Male,2,1,8,49500.0,294000,5.0,Excellent,20,143.695,287.39,285.0,1620.0,3-Month,Yes,Costly Data Plans,1,0.1774012345679012,36750.0,13-24,Yes
CUST0133,64,Bauchi,Female,1,1,10,350.0,3500,4.0,Very Good,45,169.94,169.94,0.48828125,4.8828125,Daily,Yes,Fast Data Consumption,1,34.803712,350.0,37+,No
CUST0134,75,Oyo,Female,2,1,27,23000.0,530000,4.0,Very Good,27,36.505,73.01,182.5,3400.0,Monthly,Yes,Poor Customer Service,1,0.0214735294117647,19629.62962962963,25-36,Yes
CUST0135,25,Benue,Male,1,1,4,4500.0,18000,3.0,Good,31,192.43,192.43,10.0,40.0,Monthly,No,,0,4.8107500000000005,4500.0,25-36,No
CUST0136,47,Ondo,Female,2,1,26,7750.0,209000,5.0,Excellent,59,101.085,202.17,20.75,565.0,Monthly,No,,0,0.3578230088495575,8038.461538461538,37+,Yes
CUST0137,28,Taraba,Female,1,1,18,4500.0,81000,3.0,Good,59,3.74,3.74,10.0,180.0,Monthly,No,,0,0.0207777777777777,4500.0,37+,No
CUST0138,53,Plateau,Male,1,1,11,6500.0,71500,4.0,Very Good,22,131.09,131.09,16.5,181.5,Monthly,No,,0,0.7222589531680441,6500.0,13-24,No
CUST0139,78,Yobe,Female,2,1,17,12500.0,174000,2.0,Fair,11,129.01,258.02,47.5,615.0,Monthly,Yes,Relocation,1,0.4195447154471544,10235.29411764706,7-12,Yes
CUST0140,45,Kaduna,Male,1,1,18,5500.0,99000,5.0,Excellent,1,3.64,3.64,12.5,225.0,Monthly,No,,0,0.0161777777777777,5500.0,0-6,No
CUST0141,17,Kano,Female,1,1,8,1000.0,8000,1.0,Poor,35,105.11,105.11,3.2,25.6,2-Day,No,,0,4.105859375,1000.0,25-36,No
CUST0142,48,Ekiti,Female,2,1,11,12175.0,74800,1.0,Poor,51,167.51,335.02,60.244140625,363.90625,Daily,No,,0,0.9206217260626878,6800.0,37+,Yes
CUST0143,27,Kebbi,Female,2,1,23,21833.33333333333,533000,1.0,Poor,25,169.50333333333333,508.51,100.5,2427.0,Monthly,No,,0,0.2095220436753193,23173.91304347826,25-36,Yes
